id,delivered_time,brand,outlet,sku,order_quantity
1,2021-02-27T16:27:53Z,A,YK28,217,1
2,2021-03-01T12:25:19Z,A,YK28,217,1
3,2021-03-01T16:02:59Z,A,YK28,217,1
4,2021-03-02T12:28:32Z,A,YK28,217,1
5,2021-03-03T09:54:11Z,A,YK28,217,1
6,2021-03-03T17:13:08Z,A,YK28,217,1
7,2021-03-04T11:08:18Z,A,YK28,217,2
8,2021-03-05T12:47:40Z,A,YK28,217,1
9,2021-03-06T15:19:26Z,A,YK28,217,2
10,2021-03-08T11:02:04Z,A,YK28,201,1
11,2021-03-11T20:22:46Z,A,YK28,217,4
12,2021-03-12T12:38:11Z,A,YK28,217,1
13,2021-03-12T17:49:31Z,A,YK28,217,1
14,2021-03-16T11:45:57Z,A,YK28,217,2
15,2021-03-16T18:18:16Z,A,YK28,217,1
16,2021-03-20T12:57:03Z,A,YK28,217,1
17,2021-03-21T09:22:34Z,A,YK28,217,1
18,2021-03-22T10:37:32Z,A,YK28,217,1
19,2021-03-22T14:04:38Z,A,YK28,217,1
20,2021-03-23T11:39:39Z,A,YK28,217,1
21,2021-03-23T11:57:05Z,A,YK28,201,1
22,2021-03-23T12:08:21Z,A,YK28,217,1
23,2021-03-24T10:09:10Z,A,YK28,217,1
24,2021-03-24T14:06:12Z,A,YK28,217,1
25,2021-03-24T14:15:37Z,A,YK28,217,1
26,2021-03-24T17:36:09Z,A,YK28,217,1
27,2021-03-25T13:16:53Z,A,YK28,217,1
28,2021-03-25T19:26:37Z,A,YK28,201,1
29,2021-03-26T18:17:34Z,A,YK28,217,2
30,2021-03-27T11:29:23Z,A,YK28,217,1
31,2021-03-27T12:03:56Z,A,YK28,217,1
32,2021-03-28T14:35:27Z,A,YK28,217,8
33,2021-03-29T10:11:21Z,A,YK28,201,1
34,2021-03-30T11:34:52Z,A,YK28,217,1
35,2021-04-01T17:02:51Z,A,YK28,201,2
36,2021-04-04T10:12:38Z,A,YK28,201,1
37,2021-04-05T09:22:45Z,A,YK28,217,1
38,2021-04-05T09:43:49Z,A,YK28,217,1
39,2021-04-05T09:52:17Z,A,YK28,217,1
40,2021-04-05T10:33:46Z,A,YK28,217,1
41,2021-04-05T11:49:43Z,A,YK28,217,1
42,2021-04-05T12:26:56Z,A,YK28,217,1
43,2021-04-06T19:16:18Z,A,YK28,217,1
44,2021-04-07T10:20:10Z,A,YK28,217,1
45,2021-04-07T11:58:34Z,A,YK28,217,1
46,2021-04-09T11:15:30Z,A,YK28,217,1
47,2021-04-09T11:58:23Z,A,YK28,217,3
48,2021-04-11T09:17:35Z,A,YK28,217,2
49,2021-04-11T13:49:59Z,A,YK28,217,2
50,2021-04-12T11:36:34Z,A,YK28,217,3
51,2021-04-12T12:16:10Z,B,YK28,588,1
52,2021-04-12T12:44:28Z,A,YK28,217,1
53,2021-04-12T18:56:25Z,A,YK28,217,1
54,2021-04-12T19:53:19Z,B,YK28,581,1
55,2021-04-13T14:37:41Z,C,YK28,995,9
56,2021-04-13T14:37:41Z,C,YK28,996,1
57,2021-04-13T14:37:41Z,C,YK28,999,1
58,2021-04-13T14:37:41Z,C,YK28,001,1
59,2021-04-13T15:48:27Z,C,YK28,994,1
60,2021-04-13T15:48:27Z,C,YK28,995,1
61,2021-04-13T19:17:34Z,C,YK28,000,1
62,2021-04-13T19:17:34Z,C,YK28,899,1
63,2021-04-14T10:41:31Z,A,YK28,217,1
64,2021-04-14T11:05:51Z,C,YK28,994,1
65,2021-04-14T11:05:51Z,C,YK28,995,2
66,2021-04-14T11:05:51Z,C,YK28,996,1
67,2021-04-14T12:17:08Z,A,YK28,217,1
68,2021-04-14T13:02:17Z,C,YK28,996,1
69,2021-04-14T13:02:17Z,C,YK28,998,1
70,2021-04-14T13:02:17Z,C,YK28,999,1
71,2021-04-14T13:02:17Z,C,YK28,000,1
72,2021-04-14T13:02:17Z,C,YK28,403,1
73,2021-04-14T13:02:17Z,C,YK28,403,1
74,2021-04-14T14:08:37Z,B,YK28,581,1
75,2021-04-14T16:44:16Z,C,YK28,994,2
76,2021-04-14T16:44:16Z,C,YK28,995,2
77,2021-04-14T19:00:01Z,C,YK28,994,3
78,2021-04-14T19:00:01Z,C,YK28,995,3
79,2021-04-14T20:01:11Z,A,YK28,201,2
80,2021-04-15T10:38:52Z,C,YK28,994,1
81,2021-04-15T10:38:52Z,C,YK28,995,2
82,2021-04-15T10:38:52Z,C,YK28,999,2
83,2021-04-15T10:38:52Z,C,YK28,901,1
84,2021-04-15T11:24:42Z,B,YK28,602,1
85,2021-04-15T11:24:42Z,B,YK28,588,1
86,2021-04-15T13:06:26Z,C,YK28,994,3
87,2021-04-15T13:06:26Z,C,YK28,994,3
88,2021-04-15T13:06:26Z,C,YK28,995,3
89,2021-04-15T13:06:26Z,C,YK28,995,1
90,2021-04-15T13:06:26Z,C,YK28,997,2
91,2021-04-15T15:35:34Z,C,YK28,996,6
92,2021-04-15T15:35:34Z,C,YK28,998,6
93,2021-04-15T15:41:18Z,C,YK28,996,2
94,2021-04-15T15:41:18Z,C,YK28,998,2
95,2021-04-15T15:41:18Z,C,YK28,999,2
96,2021-04-15T15:41:18Z,C,YK28,000,4
97,2021-04-15T15:41:18Z,C,YK28,001,2
98,2021-04-15T16:05:11Z,C,YK28,994,2
99,2021-04-15T16:05:11Z,C,YK28,995,5
100,2021-04-15T16:05:11Z,C,YK28,996,1
101,2021-04-15T17:18:06Z,A,YK28,217,2
102,2021-04-15T19:34:09Z,C,YK28,996,2
103,2021-04-15T19:34:09Z,C,YK28,998,1
104,2021-04-15T19:34:09Z,C,YK28,999,1
105,2021-04-15T19:34:09Z,C,YK28,000,1
106,2021-04-15T19:34:09Z,C,YK28,001,1
107,2021-04-16T09:49:47Z,B,YK28,593,1
108,2021-04-16T09:49:47Z,B,YK28,588,1
109,2021-04-16T09:49:47Z,B,YK28,599,1
110,2021-04-16T10:36:12Z,C,YK28,994,1
111,2021-04-16T10:36:12Z,C,YK28,994,8
112,2021-04-16T10:36:12Z,C,YK28,995,4
113,2021-04-16T10:36:12Z,C,YK28,000,1
114,2021-04-16T12:00:05Z,B,YK28,581,1
115,2021-04-16T12:03:11Z,B,YK28,581,1
116,2021-04-16T12:03:11Z,B,YK28,599,1
117,2021-04-16T12:03:11Z,B,YK28,603,1
118,2021-04-16T12:16:26Z,B,YK28,581,1
119,2021-04-16T13:58:49Z,C,YK28,994,4
